Component name,Quantity,Price,Manufacturer,Link
I2C OLED Display Module,1,$0.99,,https://www.aliexpress.us/item/3256806179530924.html
SK6812 Mini-e,61,$18.00,,https://keeb.io/products/sk-6812-mini-e-rgb-leds-12-pack
Raspberry Pi Pico,1,$4.00,,https://www.mouser.com/ProductDetail/Raspberry-Pi/SC0915
EC11 Rotary Encoder,1,$2.00,,https://keeb.io/products/rotary-encoder-ec11
MX Switches,61,$40.00,,https://www.amazon.com/CHERRY-Silent-Mechanical-Keyboard-Switches/dp/B0FYRGWPGL/ref=sr_1_4
EC11 Rotary Encoder Knob,1,$1.95,,https://www.aliexpress.us/item/3256803638369929.html
Rubber feet,4,$2.00,,https://scottokeebs.com/products/rubber-feet
Keyboard PCBs,5,$40.91,JLCPCB,N/A
Keycaps (60%),1,$29.99,,https://pwnage.com/products/cherry-profile-dual-shot-pbt-keycaps
M2 Screws,8,$9.00,,https://www.amazon.com/VGBUY-Assortment-Stainless-Machine-Suitable/dp/B0FJ1XLMJT/ref=sr_1_16
