Component name,Quantity,Price,Manufacturer,Link
I2C OLED Display Module,1,$0.99,,https://www.aliexpress.us/item/3256806179530924.html?src=google&gatewayAdapt=glo2usa
SK6812 Mini-e,61,$18.00,,https://keeb.io/products/sk-6812-mini-e-rgb-leds-12-pack?srsltid=AfmBOopJ7x8t5Xc3bgYcbsitDFhMWk-S30zib6dbh_Q6SWwtEC2UcKDT
Raspberry Pi Pico,1,$4.00,,https://www.mouser.com/ProductDetail/Raspberry-Pi/SC0915?qs=T%252BzbugeAwjgnLi4azxXVFA%3D%3D&mgh=1&srsltid=AfmBOooe7vu3RfjoyWKZrMWKYgNDXXojm3ZgvOjKYU_TUEMvgLwyTOLDdOo
EC11 Rotary Encoder,1,$2.00,,https://keeb.io/products/rotary-encoder-ec11?variant=32196247879774&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoonq9zB0V-SegNhR5qyL30EQUGWAI4fr5oPA_cDYEoB1psQjth5_To
MX Switches,61,$40.00,,https://www.amazon.com/CHERRY-Silent-Mechanical-Keyboard-Switches/dp/B0FYRGWPGL/ref=sr_1_4?channelId=500&clpRedir=Y&dib=eyJ2IjoiMSJ9.EstwaZRgS5UVExw7URpshCr-91J2J_uoKWXrQP6REdbizdcGsjbnq9zJMvaehCD9CpC8fp5ExQizOK74269Y87GsgDKrH-On1z3ZrluqHzEliUuSHmFz3gLCVkRlOO5oZugd-OtIhz2q653uxWeiO1WdvpHwmfdWlDKTHFKqZZnY__C1fFMhSGwILtdZZUW9XsTYvMTxM4liq9Ojc9DQ-83-8rc3Gt-3dkyWyBwx7q8.yePOl3G5J0u4Qoh7XWql9F_eUyhuidllm5klcIqXS4E&dib_tag=se&keywords=cherry+mx+red+switches&plpRedirect=mhFallback&qid=1781996954&sr=8-4
EC11 Rotary Encoder Knob,1,$1.95,,https://www.aliexpress.us/item/3256803638369929.html?_randl_currency=USD&src=google&snps=y&src=google&albch=shopping&acnt=708-803-3821&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en3256803638369929&ds_e_product_merchant_id=109217176&ds_e_product_country=US&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=20542171667&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=18545443176&gbraid=0AAAAAD6I-hGBc_WwQ-74FUbdnXkQ5ZE7n&gclid=CjwKCAjw9NjRBhATEiwA_p2J8cIANb_Z9XGChcVDU3kCO4JKQcaJpxku7xckXUoECRSLUEjgFNxpnRoCLDkQAvD_BwE&gatewayAdapt=glo2usa&_randl_shipto=US
DO-35 Diode,61,$3.36,,https://www.digikey.com/en/products/detail/onsemi/1N4148TR/458811
Rubber feet,4,$2.00,,https://scottokeebs.com/products/rubber-feet?pr_prod_strat=jac&pr_rec_id=45b7dbd68&pr_rec_pid=8272370368752&pr_ref_pid=8272351330544&pr_seq=uniform
Keyboard PCBs,5,$40.91,JLCPCB,N/A
Keycaps (60%),1,$29.99,,https://pwnage.com/products/cherry-profile-dual-shot-pbt-keycaps?variant=43226410516671&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoq1Cp15q4KBnFIZ8NZ-o1C5KPt3ixHvUxaHKO88YQPgnMlPWlBgkj8
,,,,
,,,,
,Total Price:,$143.20,,
